ID	HSK_Level	Simplified	Pinyin	Meaning	Examples	Tags	Audio
1594-V	HSK 4	办理	bànlǐ	handle; process	办理手续 - bànlǐ shǒuxù - Complete the registration<br>办理业务 - bànlǐ yèwù - Handle business<br>办理入住 - bànlǐ rùzhù - Check in	daily	[sound:hsk1_办理.wav]
2182-V	HSK 4	办事	bànshì	take care of business; handle affairs	去办事 - qù bànshì - Go take care of business<br>办事效率 - bànshì xiàolǜ - Work efficiency<br>他办事很认真 - tā bànshì hěn rènzhēn - He is very serious about his work	verb,administration,action	[sound:hsk4_办事.wav]
2183-V	HSK 4	抱	bào	hug; hold in arms	抱孩子 - bào háizi - Hold a child in one's arms<br>抱一下 - bào yíxià - Give a hug<br>她抱着一只猫 - tā bào zhe yì zhī māo - She is holding a cat in her arms	verb,action,affection	[sound:hsk4_抱.wav]
630-V	HSK 4	保护	bǎohù	protect	保护环境 - bǎohù huánjìng - Protect the environment<br>保护自己 - bǎohù zìjǐ - Protect oneself	verb	[sound:hsk1_保护.wav]
2184-V	HSK 4	报考	bàokǎo	register for an exam	报考大学 - bàokǎo dàxué - Apply to university<br>报考研究生 - bàokǎo yánjiūshēng - Apply for a master's program<br>报考HSK - bàokǎo HSK - Register for the HSK	verb,school,exam	[sound:hsk4_报考.wav]
2185-V	HSK 4	报名	bàomíng	register; sign up	报名参加 - bàomíng cānjiā - Sign up to participate<br>报名截止 - bàomíng jiézhǐ - Registration deadline<br>在网上报名 - zài wǎngshang bàomíng - Register online	verb,registration,participation	[sound:hsk4_报名.wav]
1358-V	HSK 4	抱歉	bàoqiàn	sorry	很抱歉让你久等了 - hěn bàoqiàn ràng nǐ jiǔ děng le - Sorry for making you wait so long<br>我深感抱歉 - wǒ shēn gǎn bàoqiàn - I am sincerely sorry<br>抱歉，我来晚了 - bàoqiàn, wǒ lái wǎn le - Sorry, I arrived late<br>他抱歉地看着我 - tā bàoqiàn de kàn zhe wǒ - He looked at me apologetically<br>我对此感到非常抱歉 - wǒ duì cǐ gǎndào fēicháng bàoqiàn - I am truly sorry about this	adjective	[sound:hsk1_抱歉.wav]
1325-V	HSK 4	保证	bǎozhèng	guarantee	保证质量 - bǎozhèng zhìliàng - Ensure quality<br>我保证 - wǒ bǎozhèng - I guarantee<br>保证完成 - bǎozhèng wánchéng - Guarantee completion	verb	[sound:hsk1_保证.wav]
2186-V	HSK 4	倍	bèi	times (multiplier)	两倍 - liǎng bèi - Twice<br>是原来的三倍 - shì yuánlái de sān bèi - It is three times the original<br>增加一倍 - zēngjiā yí bèi - Double	classifier,quantity,multiplication	[sound:hsk4_倍.wav]
1114-V	HSK 4	背1	bēi	carry on one's back	背包很重 - bēibāo hěn zhòng - The backpack is heavy<br>他背着包 - tā bēi zhe bāo - He is carrying a bag<br>背孩子 - bēi háizi - Carry a child on one's back	verb,action,object	[sound:hsk4_背.wav]
2187-V	HSK 4	背包	bēibāo	backpack	背着背包 - bēi zhe bēibāo - Carry a backpack<br>我的背包很重 - wǒ de bēibāo hěn zhòng - My backpack is very heavy<br>旅行背包 - lǚxíng bēibāo - Travel backpack	noun,object,travel	[sound:hsk4_背包.wav]
2188-V	HSK 4	北部	běibù	northern part	中国北部 - zhōngguó běibù - Northern China<br>城市北部 - chéngshì běibù - The north of the city<br>北部地区 - běibù dìqū - Northern region	noun,geography,direction	[sound:hsk4_北部.wav]
2189-V	HSK 4	笨	bèn	stupid; dumb	我很笨 - wǒ hěn bèn - I am stupid<br>笨办法 - bèn bànfǎ - Stupid method<br>别这么笨 - bié zhème bèn - Don't be so dumb	adjective,intelligence,negative	[sound:hsk4_笨.wav]
1765-V	HSK 4	本科	běnkē	bachelor's degree	本科生 - běnkēshēng - Undergraduate student<br>本科毕业 - běnkē bìyè - Bachelor's degree graduation<br>本科学历 - běnkē xuélì - Undergraduate degree	education	[sound:hsk1_本科.wav]
2190-V	HSK 4	本来	běnlái	originally; initially	本来想去 - běnlái xiǎng qù - Originally I wanted to go<br>本来就是这样 - běnlái jiù shì zhèyàng - It was like this from the start<br>他本来不知道 - tā běnlái bù zhīdào - He didn't know at first	adverb,time,origin	[sound:hsk4_本来.wav]
2191-V	HSK 4	便于	biànyú	to facilitate; in order to	便于管理 - biànyú guǎnlǐ - To facilitate management<br>便于使用 - biànyú shǐyòng - Easy to use<br>便于交流 - biànyú jiāoliú - To facilitate communication	verb,preposition,convenience	[sound:hsk4_便于.wav]
2192-V	HSK 4	表	biǎo	watch; table; form	手表 - shǒubiǎo - Watch<br>填表 - tián biǎo - Fill in a form<br>时间表 - shíjiān biǎo - Schedule	noun,object,document	[sound:hsk4_表.wav]
1589-V	HSK 4	表格	biǎogé	form; table	填写表格 - tiánxiě biǎogé - Fill in forms<br>申请表格 - shēnqǐng biǎogé - Application form<br>表格内容 - biǎogé nèiróng - Form content	work	[sound:hsk1_表格.wav]
619-V	HSK 4	表示	biǎoshì	express	表示感谢 - biǎoshì gǎnxiè - Express gratitude<br>表示同意 - biǎoshì tóngyì - Express agreement	verb	[sound:hsk1_表示.wav]
2193-V	HSK 4	表现	biǎoxiàn	behavior; performance	表现很好 - biǎoxiàn hěn hǎo - Good performance<br>他的表现不错 - tā de biǎoxiàn búcuò - His performance is not bad<br>表现出来 - biǎoxiàn chūlái - Show; manifest	noun,verb,evaluation	[sound:hsk4_表现.wav]
1387-V	HSK 4	表扬	biǎoyáng	praise; commend	表扬他 - biǎoyáng tā - Praise him<br>得到表扬 - dédào biǎoyáng - Receive praise<br>表扬信 - biǎoyángxìn - Letter of commendation	verb	[sound:hsk1_表扬.wav]
1401-V	HSK 4	标准	biāozhǔn	standard	标准答案 - biāozhǔn dá'àn - Official answer<br>质量标准 - zhìliàng biāozhǔn - Quality standards<br>国际标准 - guójì biāozhǔn - International standards	noun	[sound:hsk1_标准.wav]
2194-V	HSK 4	并	bìng	and; furthermore (formal)	并不是 - bìng bú shì - It's not at all<br>并且 - bìngqiě - And, furthermore<br>我并没有说 - wǒ bìng méiyǒu shuō - I absolutely did not say	conjunction,grammar,addition	[sound:hsk4_并.wav]
2195-V	HSK 4	饼干	bǐnggān	biscuit; cookie	吃饼干 - chī bǐnggān - Eat biscuits<br>一包饼干 - yì bāo bǐnggān - A packet of biscuits<br>巧克力饼干 - qiǎokèlì bǐnggān - Chocolate biscuits	noun,food,snack	[sound:hsk4_饼干.wav]
2196-V	HSK 4	并且	bìngqiě	and; furthermore; moreover	不但...并且... - búdàn...bìngqiě... - Not only...but also...<br>他很聪明并且很努力 - tā hěn cōngming bìngqiě hěn nǔlì - He is intelligent and hardworking<br>便宜并且好吃 - piányi bìngqiě hǎochī - Cheap and delicious	conjunction,grammar,addition	[sound:hsk4_并且.wav]
2197-V	HSK 4	笔试	bǐshì	written exam	笔试和口试 - bǐshì hé kǒushì - Written and oral exam<br>通过笔试 - tōngguò bǐshì - Pass the written exam<br>笔试成绩 - bǐshì chéngjì - Written exam score	noun,school,exam	[sound:hsk4_笔试.wav]
1126-V	HSK 4	毕业	bìyè	graduate	我明年大学毕业 - wǒ míngnián dàxué bìyè - I'm graduating from university next year<br>毕业以后你想做什么？ - bìyè yǐhòu nǐ xiǎng zuò shénme? - What do you want to do after graduation?<br>他刚毕业，在找工作 - tā gāng bìyè, zài zhǎo gōngzuò - He just graduated and is looking for work<br>毕业典礼是什么时候？ - bìyè diǎnlǐ shì shénme shíhou? - When is the graduation ceremony?<br>毕业十年了，还常常想念同学 - bìyè shí nián le, hái chángcháng xiǎngniàn tóngxué - It's been ten years since graduation, and I still often miss my classmates	education	[sound:hsk1_毕业.wav]
2198-V	HSK 4	毕业生	bìyèshēng	graduate	大学毕业生 - dàxué bìyèshēng - University graduate<br>应届毕业生 - yìngjiè bìyèshēng - Recent graduate<br>毕业生就业 - bìyèshēng jiùyè - Graduate employment	noun,school,person	[sound:hsk4_毕业生.wav]
227-V	HSK 4	鼻子	bízi	nose	大鼻子 - dà bízi - Big nose<br>鼻子疼 - bízi téng - The nose hurts<br>流鼻涕 - liú bítì - Have a runny nose<br>鼻子不通 - bízi bù tōng - Stuffy nose<br>高鼻子 - gāo bízi - High nose	body,health	[sound:hsk1_鼻子.wav]
2199-V	HSK 4	播放	bōfàng	broadcast; play (media)	播放音乐 - bōfàng yīnyuè - Play music<br>播放视频 - bōfàng shìpín - Play a video<br>正在播放 - zhèngzài bōfàng - Now playing	verb,media,technology	[sound:hsk4_播放.wav]
1767-V	HSK 4	博士	bóshì	doctorate; PhD	博士生 - bóshìshēng - Doctoral student<br>读博士 - dú bóshì - Study for a PhD<br>博士论文 - bóshì lùnwén - Doctoral thesis	education	[sound:hsk1_博士.wav]
2200-V	HSK 4	步	bù	step; stage	一步一步 - yí bù yí bù - Step by step<br>走几步 - zǒu jǐ bù - Take a few steps<br>第一步 - dì yī bù - First step	noun,classifier,movement	[sound:hsk4_步.wav]
2201-V	HSK 4	部	bù	part; department (classifier)	一部电影 - yí bù diànyǐng - A film<br>部门 - bùmén - Department<br>外交部 - wàijiāobù - Ministry of Foreign Affairs	noun,classifier,organization	[sound:hsk4_部.wav]
2202-V	HSK 4	不必	búbì	no need to; unnecessary	不必担心 - búbì dānxīn - No need to worry<br>不必客气 - búbì kèqi - No need to be polite<br>不必着急 - búbì zháojí - No need to rush	adverb,negation,necessity	[sound:hsk4_不必.wav]
2203-V	HSK 4	不便	búbiàn	inconvenient; inconvenience	不方便 - bù fāngbiàn - Not convenient<br>给您带来不便 - gěi nín dàilái búbiàn - Sorry for the inconvenience<br>交通不便 - jiāotōng búbiàn - Poor transport links	adjective,noun,convenience	[sound:hsk4_不便.wav]
2204-V	HSK 4	不得不	bùdébù	have no choice but to; must	我不得不去 - wǒ bùdébù qù - I am forced to go<br>不得不承认 - bùdébù chéngrèn - Have to admit<br>不得不说 - bùdébù shuō - I have to say that	adverb,obligation,necessity	[sound:hsk4_不得不.wav]
2205-V	HSK 4	不断	búduàn	constantly; continuously	不断进步 - búduàn jìnbù - Progress constantly<br>不断学习 - búduàn xuéxí - Learn continuously<br>不断发展 - búduàn fāzhǎn - Develop continuously	adverb,time,continuity	[sound:hsk4_不断.wav]
2206-V	HSK 4	部分	bùfen	part; portion	一部分人 - yí bùfen rén - A portion of people<br>大部分 - dà bùfen - The majority<br>这是其中一部分 - zhè shì qízhōng yí bùfen - This is a part of it	noun,quantity,division	[sound:hsk4_部分.wav]
2207-V	HSK 4	不够	búgòu	not enough; insufficient	钱不够 - qián búgòu - Not enough money<br>时间不够 - shíjiān búgòu - Not enough time<br>还不够好 - hái búgòu hǎo - Not good enough yet	adverb,quantity,lack	[sound:hsk4_不够.wav]
1313-V	HSK 4	不管	bùguǎn	no matter; regardless	不管怎样 - bùguǎn zěnyàng - No matter what<br>不管是谁 - bùguǎn shì shéi - No matter who it is<br>不管...都... - bùguǎn...dōu... - No matter... always...	conjunction	[sound:hsk1_不管.wav]
2208-V	HSK 4	不光	bùguāng	not only	不光是我 - bùguāng shì wǒ - Not only me<br>不光...还... - bùguāng...hái... - Not only...but also...<br>不光如此 - bùguāng rúcǐ - And that's not all	conjunction,grammar,emphasis	[sound:hsk4_不光.wav]
664-V	HSK 4	不过	búguò	but; however; only	东西不错，不过有点儿贵 - dōngxi búcuò, búguò yǒudiǎnr guì - It's good, but a little expensive<br>我想去，不过没时间 - wǒ xiǎng qù, búguò méi shíjiān - I'd like to go, but I don't have time<br>他很聪明，不过不太努力 - tā hěn cōngming, búguò bú tài nǔlì - He is intelligent, but not very hardworking<br>不过没关系 - búguò méi guānxi - But it doesn't matter<br>天气不好，不过我们还是去吧 - tiānqì bù hǎo, búguò wǒmen háishi qù ba - The weather isn't great, but let's go anyway	conjunction	[sound:hsk1_不过.wav]
2209-V	HSK 4	不仅	bùjǐn	not only	不仅...而且... - bùjǐn...érqiě... - Not only...but also...<br>不仅如此 - bùjǐn rúcǐ - And that's not all<br>他不仅会说中文 - tā bùjǐn huì shuō zhōngwén - He doesn't only speak Chinese	conjunction,grammar,emphasis	[sound:hsk4_不仅.wav]
2210-V	HSK 4	不论	búlùn	no matter; regardless of	不论如何 - búlùn rúhé - No matter what happens<br>不论...都... - búlùn...dōu... - No matter...always...<br>不论大小 - búlùn dàxiǎo - Regardless of size	conjunction,grammar,condition	[sound:hsk4_不论.wav]
2211-V	HSK 4	不满	bùmǎn	dissatisfied; discontented	对...不满 - duì...bùmǎn - Be dissatisfied with...<br>表示不满 - biǎoshì bùmǎn - Express dissatisfaction<br>他很不满 - tā hěn bùmǎn - He is very discontented	adjective,emotion,negative	[sound:hsk4_不满.wav]
1642-V	HSK 4	部门	bùmén	department	人事部门 - rénshì bùmén - Human resources department<br>部门经理 - bùmén jīnglǐ - Department manager<br>部门协作 - bùmén xiézuò - Inter-department collaboration	work	[sound:hsk1_部门.wav]
2212-V	HSK 4	不如	bùrú	not as good as; better to	不如去看电影 - bùrú qù kàn diànyǐng - Better to go see a film<br>他不如你聪明 - tā bùrú nǐ cōngming - He is less intelligent than you<br>与其...不如... - yǔqí...bùrú... - Rather than...it's better to...	verb,comparison,suggestion	[sound:hsk4_不如.wav]
2213-V	HSK 4	擦	cā	wipe; rub	擦桌子 - cā zhuōzi - Wipe the table<br>擦干净 - cā gānjìng - Clean completely<br>擦玻璃 - cā bōli - Clean the windows	verb,cleaning,action	[sound:hsk4_擦.wav]
2214-V	HSK 4	猜	cāi	guess	猜一猜 - cāi yì cāi - Have a guess<br>你猜对了 - nǐ cāi duì le - You guessed correctly<br>猜谜语 - cāi míyǔ - Guess riddles	verb,thought,game	[sound:hsk4_猜.wav]
1546-V	HSK 4	材料	cáiliào	material	材料好 - cáiliào hǎo - Good quality materials<br>原材料 - yuán cáiliào - Raw materials<br>材料成本 - cáiliào chéngběn - Material cost	shopping	[sound:hsk1_材料.wav]
2215-V	HSK 4	参观	cānguān	visit (a place)	参观博物馆 - cānguān bówùguǎn - Visit a museum<br>参观工厂 - cānguān gōngchǎng - Visit a factory<br>欢迎参观 - huānyíng cānguān - Welcome to visit	verb,travel,visit	[sound:hsk4_参观.wav]
2216-V	HSK 4	参赛	cānsài	participate in a competition	参赛选手 - cānsài xuǎnshǒu - Competition participant<br>报名参赛 - bàomíng cānsài - Register to participate<br>参赛资格 - cānsài zīgé - Qualification for the competition	verb,sport,competition	[sound:hsk4_参赛.wav]
081-V	HSK 4	餐厅	cāntīng	restaurant	去餐厅 - qù cāntīng - Go to the restaurant<br>学校餐厅 - xuéxiào cāntīng - School cafeteria<br>这个餐厅很好 - zhège cāntīng hěn hǎo - This restaurant is very good.<br>我在餐厅工作 - wǒ zài cāntīng gōngzuò - I work at the restaurant.<br>餐厅在哪儿？ - cāntīng zài nǎr? - Where is the restaurant?	place,food	[sound:hsk1_餐厅.wav]
2217-V	HSK 4	操场	cāochǎng	sports ground; playground	在操场上跑步 - zài cāochǎng shàng pǎobù - Run on the sports ground<br>学校操场 - xuéxiào cāochǎng - School sports ground<br>操场很大 - cāochǎng hěn dà - The sports ground is large	noun,school,place	[sound:hsk4_操场.wav]
2218-V	HSK 4	厕所	cèsuǒ	toilet; restroom	厕所在哪儿？ - cèsuǒ zài nǎr? - Where are the toilets?<br>公共厕所 - gōnggòng cèsuǒ - Public toilets<br>去上厕所 - qù shàng cèsuǒ - Go to the toilet	noun,place,building	[sound:hsk4_厕所.wav]
2219-V	HSK 4	查看	chákàn	check; consult	查看信息 - chákàn xìnxī - Check the information<br>查看邮件 - chákàn yóujiàn - Check emails<br>请查看 - qǐng chákàn - Please check	verb,action,verification	[sound:hsk4_查看.wav]
2220-V	HSK 4	厂	chǎng	factory; plant	工厂 - gōngchǎng - Factory<br>汽车厂 - qìchē chǎng - Car factory<br>厂长 - chǎngzhǎng - Factory director	noun,place,industry	[sound:hsk4_厂.wav]
2221-V	HSK 4	场	chǎng	venue; scene (classifier)	一场比赛 - yì chǎng bǐsài - A match<br>一场电影 - yì chǎng diànyǐng - A screening<br>机场 - jīchǎng - Airport	noun,classifier,place	[sound:hsk4_场.wav]
2222-V	HSK 4	产生	chǎnshēng	produce; give rise to	产生影响 - chǎnshēng yǐngxiǎng - Have an impact<br>产生问题 - chǎnshēng wèntí - Cause problems<br>产生兴趣 - chǎnshēng xìngqù - Arouse interest	verb,creation,result	[sound:hsk4_产生.wav]
2223-V	HSK 4	超过	chāoguò	exceed; surpass	超过一百人 - chāoguò yìbǎi rén - More than a hundred people<br>超过预期 - chāoguò yùqī - Exceed expectations<br>不能超过 - bù néng chāoguò - Cannot exceed	verb,comparison,quantity	[sound:hsk4_超过.wav]
2224-V	HSK 4	茶叶	cháyè	tea leaves	买茶叶 - mǎi cháyè - Buy tea<br>中国茶叶 - zhōngguó cháyè - Chinese tea<br>茶叶很香 - cháyè hěn xiāng - The tea is very fragrant	noun,drink,tea	[sound:hsk4_茶叶.wav]
2225-V	HSK 4	差（一）点儿	chà(yì)diǎnr	almost; nearly; nearly did	差点儿迟到 - chàdiǎnr chídào - I almost arrived late<br>差点儿忘了 - chàdiǎnr wàng le - I almost forgot<br>差一点儿就赢了 - chà yìdiǎnr jiù yíng le - We almost won	adverb,approximation,time	[sound:hsk4_差一点儿.wav]
2226-V	HSK 4	查找	cházhǎo	search; look for	查找资料 - cházhǎo zīliào - Search for information<br>查找文件 - cházhǎo wénjiàn - Search for a file<br>在网上查找 - zài wǎngshang cházhǎo - Search online	verb,search,action	[sound:hsk4_查找.wav]
2227-V	HSK 4	城	chéng	city; town	城市 - chéngshì - City<br>北京城 - běijīng chéng - The city of Beijing<br>进城 - jìn chéng - Go into the city	noun,place,geography	[sound:hsk4_城.wav]
2228-V	HSK 4	乘1	chéng	take (transport); multiply	乘地铁 - chéng dìtiě - Take the subway<br>乘飞机 - chéng fēijī - Take a plane<br>二乘三等于六 - èr chéng sān děngyú liù - Two times three equals six	verb,transport,mathematics	[sound:hsk4_乘.wav]
640-V	HSK 4	成功	chénggōng	succeed; successful	很成功 - hěn chénggōng - Very successful<br>成功了 - chénggōng le - Succeeded	adjective,verb	[sound:hsk1_成功.wav]
2229-V	HSK 4	乘客	chéngkè	passenger	火车乘客 - huǒchē chéngkè - Train passenger<br>乘客请注意 - chéngkè qǐng zhùyì - Attention passengers<br>飞机乘客 - fēijī chéngkè - Plane passenger	noun,transport,person	[sound:hsk4_乘客.wav]
1364-V	HSK 4	诚实	chéngshí	honest	很诚实 - hěn chéngshí - Very honest<br>诚实的人 - chéngshí de rén - An honest person<br>诚实守信 - chéngshí shǒuxìn - Honest and trustworthy	adjective	[sound:hsk1_诚实.wav]
2230-V	HSK 4	成为	chéngwéi	become	成为朋友 - chéngwéi péngyou - Become friends<br>成为老师 - chéngwéi lǎoshī - Become a teacher<br>他成为了明星 - tā chéngwéi le míngxīng - He became a star	verb,change,state	[sound:hsk4_成为.wav]
2231-V	HSK 4	乘坐	chéngzuò	take (transport)	乘坐公交车 - chéngzuò gōngjiāochē - Take the bus<br>乘坐高铁 - chéngzuò gāotiě - Take the high-speed train<br>乘坐飞机 - chéngzuò fēijī - Take a plane	verb,transport,travel	[sound:hsk4_乘坐.wav]
2232-V	HSK 4	车速	chēsù	vehicle speed	车速太快 - chēsù tài kuài - The speed is too high<br>降低车速 - jiàngdī chēsù - Reduce speed<br>车速限制 - chēsù xiànzhì - Speed limit	noun,transport,measure	[sound:hsk4_车速.wav]
2233-V	HSK 4	车位	chēwèi	parking space	找车位 - zhǎo chēwèi - Look for a parking space<br>没有车位 - méiyǒu chēwèi - No parking space<br>停车位 - tíngchē wèi - Parking spot	noun,transport,place	[sound:hsk4_车位.wav]
2234-V	HSK 4	迟	chí	late; delayed	太迟了 - tài chí le - It's too late<br>迟早 - chízǎo - Sooner or later<br>来得太迟 - lái de tài chí - Arrive too late	adjective,time,delay	[sound:hsk4_迟.wav]
2235-V	HSK 4	吃惊	chījīng	be surprised; be astonished	我很吃惊 - wǒ hěn chījīng - I am very surprised<br>让人吃惊 - ràng rén chījīng - Surprising<br>吃惊地看着 - chījīng de kàn zhe - Look with surprise	verb,emotion,surprise	[sound:hsk4_吃惊.wav]
822-V	HSK 4	重2	chóng	again; repeat	重复一次 - chóngfù yícì - Repeat once<br>重新开始 - chóngxīn kāishǐ - Start over<br>重来 - chónglái - Do it again	adverb,time,action	[sound:hsk4_重2.wav]
2236-V	HSK 4	重新	chóngxīn	again; start over	重新开始 - chóngxīn kāishǐ - Start over<br>重新做 - chóngxīn zuò - Do again<br>重新考虑 - chóngxīn kǎolǜ - Reconsider	adverb,repetition,time	[sound:hsk4_重新.wav]
2237-V	HSK 4	窗	chuāng	window	窗户 - chuānghu - Window<br>开窗 - kāi chuāng - Open the window<br>窗外 - chuāng wài - Outside (through the window)	noun,home,building	[sound:hsk4_窗.wav]
220-V	HSK 4	窗户	chuānghu	window	开窗户 - kāi chuānghu - Open the window<br>关窗户 - guān chuānghu - Close the window<br>窗户很大 - chuānghu hěn dà - The window is very large<br>很大从窗户看 - cóng chuānghu kàn - Look through the window<br>窗户外面 - chuānghu wàimiàn - Outside the window	place,daily	[sound:hsk1_窗户.wav]
864-V	HSK 4	出差	chūchāi	business trip	出差去北京 - chū chāi qù běijīng - Business trip to Beijing<br>经常出差 - jīngcháng chū chāi - I travel often for work<br>出差补贴 - chūchāi bǔtiē - Business trip allowance	work,travel	[sound:hsk1_出差.wav]
735-V	HSK 4	厨房	chúfáng	kitchen	在厨房做饭 - zài chúfáng zuò fàn - Cook in the kitchen<br>厨房很干净 - chúfáng hěn gānjìng - The kitchen is very clean<br>厨房里有什么？ - chúfáng lǐ yǒu shénme? - What is in the kitchen?	place,cooking	[sound:hsk1_厨房.wav]
2238-V	HSK 4	吹	chuī	blow	吹风 - chuī fēng - It's windy<br>吹头发 - chuī tóufa - Dry one's hair<br>吹空调 - chuī kōngtiáo - Be in the air conditioning	verb,action,air	[sound:hsk4_吹.wav]
2239-V	HSK 4	出口	chūkǒu	exit; export	出口在哪儿？ - chūkǒu zài nǎr? - Where is the exit?<br>出口商品 - chūkǒu shāngpǐn - Export goods<br>安全出口 - ānquán chūkǒu - Emergency exit	noun,verb,place	[sound:hsk4_出口.wav]
2240-V	HSK 4	厨师	chúshī	cook; chef	他是厨师 - tā shì chúshī - He is a cook<br>中国厨师 - zhōngguó chúshī - Chinese chef<br>厨师做的菜很好吃 - chúshī zuò de cài hěn hǎochī - The chef's dishes are delicious	noun,profession,cooking	[sound:hsk4_厨师.wav]
2241-V	HSK 4	出现	chūxiàn	appear; arise	问题出现了 - wèntí chūxiàn le - A problem appeared<br>突然出现 - tūrán chūxiàn - Appear suddenly<br>出现错误 - chūxiàn cuòwù - An error occurred	verb,appearance,event	[sound:hsk4_出现.wav]
2242-V	HSK 4	出行	chūxíng	travel; get around	出行方便 - chūxíng fāngbiàn - Convenient travel<br>绿色出行 - lǜsè chūxíng - Green mobility<br>出行计划 - chūxíng jìhuà - Travel plans	verb,travel,movement	[sound:hsk4_出行.wav]
2243-V	HSK 4	出租	chūzū	rent out; lease	出租车 - chūzūchē - Taxi<br>出租房子 - chūzū fángzi - Rent out a house<br>房屋出租 - fángwū chūzū - House for rent	verb,commerce,rental	[sound:hsk4_出租.wav]
2244-V	HSK 4	此	cǐ	this; these (formal)	因此 - yīncǐ - Therefore<br>此外 - cǐwài - Furthermore<br>如此 - rúcǐ - Thus	pronoun,demonstrative,formal	[sound:hsk4_此.wav]
2245-V	HSK 4	此次	cǐ cì	this time	此次活动 - cǐ cì huódòng - This event<br>此次会议 - cǐ cì huìyì - This meeting<br>此次旅行 - cǐ cì lǚxíng - This trip	adverb,time,occasion	[sound:hsk4_此次.wav]
2246-V	HSK 4	此外	cǐwài	furthermore; in addition	此外还有 - cǐwài hái yǒu - Furthermore, there is<br>此外，我想说 - cǐwài, wǒ xiǎng shuō - In addition, I would like to say<br>除此之外 - chú cǐ zhī wài - Apart from this	conjunction,addition,formal	[sound:hsk4_此外.wav]
1195-V	HSK 4	词语	cíyǔ	word; vocabulary	学词语 - xué cíyǔ - Learn new words<br>新词语 - xīn cíyǔ - New words<br>词语表 - cíyǔ biǎo - Word list	language	[sound:hsk1_词语.wav]
2247-V	HSK 4	从此	cóngcǐ	from now on; henceforth	从此以后 - cóngcǐ yǐhòu - From now on<br>从此开始 - cóngcǐ kāishǐ - Start from this point<br>从此改变 - cóngcǐ gǎibiàn - Change from this point on	adverb,time,change	[sound:hsk4_从此.wav]
571-V	HSK 4	从来	cónglái	never (with negation)	我从来不迟到 - wǒ cónglái bù chídào - I am never late<br>他从来没去过中国 - tā cónglái méi qù guò zhōngguó - He has never been to China<br>我从来没见过这么漂亮的地方 - wǒ cónglái méi jiàn guò zhème piàoliang de dìfang - I have never seen such a beautiful place<br>她从来不吃辣的 - tā cónglái bù chī là de - She never eats spicy food<br>从来没听说过 - cónglái méi tīngshuō guò - I've never heard of it	adverb	[sound:hsk1_从来.wav]
